dataset,noise,detector,quality,seed,B,estimator,auc_global,auc_primary,delta_point,ci_low,ci_high,delta_ci_low,delta_ci_high,ci_entirely_above_chance,ci_entirely_below_chance,n_valid_bootstrap,n_failed_overlap,coverage_primary,coverage_bootstrap_mean,n_pairs_primary,n_pairs_bootstrap_mean,common_support_lo,common_support_hi,caliper_point,eligible_global_above_chance
cifar100,symmetric0.2,confidence,dino_density,6,1000,pipeline_primary_matching_rule,0.7372082940410228,0.7327142817426117,0.004494012298411176,0.715201731935633,0.7494566898525473,-0.006503636534583791,0.013741459323726533,True,False,1000,0,0.8015503875968992,0.9891816666666666,35969,5922.486,0.003931139407593969,0.9838482286262442,0.015891034576396137,True
cifar100,symmetric0.2,aum,dino_density,6,1000,pipeline_primary_matching_rule,0.7081654639602154,0.734298979676944,-0.026133515716728617,0.7200254401018396,0.7552304270143586,-0.04235471948469093,-0.015811573061002386,True,False,1000,0,0.8015503875968992,0.9889649999999999,35969,5921.391,0.003931139407593969,0.9838482286262442,0.015891034576396137,True
cifar100,symmetric0.2,neighbor,dino_density,6,1000,pipeline_primary_matching_rule,0.8344780118537319,0.8293113514415191,0.005166660412212809,0.822325919344733,0.8520189890012835,-0.0022019837817487454,0.011840465783398807,True,False,1000,0,0.8015503875968992,0.9893633333333334,35969,5923.694,0.003931139407593969,0.9838482286262442,0.015891034576396137,True
cifar100,symmetric0.2,confident_learning,dino_density,6,1000,pipeline_primary_matching_rule,0.8195908073388338,0.8159387250132059,0.00365208232562797,0.8096673710861817,0.8392105254452042,-0.009677734233269277,0.008622666947819428,True,False,1000,0,0.8015503875968992,0.9891458333333333,35969,5922.135,0.003931139407593969,0.9838482286262442,0.015891034576396137,True
cifar100,symmetric0.2,combined,dino_density,2,1000,pipeline_primary_matching_rule,0.6955938051346134,0.680339304648697,0.015254500485916478,0.6578987050984975,0.6953785167703166,0.008311834199136113,0.031653570130903357,True,False,1000,0,0.7874617737003058,0.9969583333333335,35838,5975.791,0.04077242114173069,0.9797569157266203,0.015917420897746136,True
cifar100,symmetric0.2,ema_loss,dino_density,2,1000,pipeline_primary_matching_rule,0.8012842249914671,0.7955382554830068,0.005745969508460291,0.7835499798689036,0.8121989687594783,-0.0006425826731343713,0.01769929604532095,True,False,1000,0,0.7874617737003058,0.9970399999999999,35838,5976.415,0.04077242114173069,0.9797569157266203,0.015917420897746136,True
cifar100,symmetric0.2,confidence,dino_density,2,1000,pipeline_primary_matching_rule,0.7345559841030466,0.7293236229700318,0.005232361133014729,0.7190795610925771,0.7532976966284429,-0.005558556433702325,0.014307183278461819,True,False,1000,0,0.7874617737003058,0.997135,35838,5976.775,0.04077242114173069,0.9797569157266203,0.015917420897746136,True
cifar100,symmetric0.2,aum,dino_density,2,1000,pipeline_primary_matching_rule,0.7123119533219262,0.7411685919973212,-0.028856638675395008,0.7200689598571552,0.7549335242194339,-0.037950628637380426,-0.012466665917175806,True,False,1000,0,0.7874617737003058,0.9970941666666667,35838,5976.566,0.04077242114173069,0.9797569157266203,0.015917420897746136,True
cifar100,symmetric0.2,neighbor,dino_density,2,1000,pipeline_primary_matching_rule,0.8334705901681911,0.8270969362129583,0.006373653955232816,0.8181415426121745,0.8482016708516406,-0.001440026303837477,0.011704937889922672,True,False,1000,0,0.7874617737003058,0.9970183333333333,35838,5976.192,0.04077242114173069,0.9797569157266203,0.015917420897746136,True
cifar100,symmetric0.2,confident_learning,dino_density,2,1000,pipeline_primary_matching_rule,0.8137894147051182,0.8094759752218316,0.004313439483286663,0.8047103723192329,0.834837583500334,-0.006580617709538756,0.011556933108343053,True,False,1000,0,0.7874617737003058,0.9969658333333334,35838,5975.763,0.04077242114173069,0.9797569157266203,0.015917420897746136,True
cifar100,symmetric0.2,combined,dino_density,7,1000,pipeline_primary_matching_rule,0.6957591986548436,0.6843803008815106,0.011378897773333008,0.6754631741577509,0.712025934061982,0.0005673809283658204,0.022559389154905893,True,False,1000,0,0.8024609245094779,0.9963141666666666,35961,5971.78,0.04130883428066228,0.9576945263133385,0.015740903639321003,True
cifar100,symmetric0.2,ema_loss,dino_density,7,1000,pipeline_primary_matching_rule,0.802177668279128,0.799755290453547,0.002422377825580968,0.7899473211671216,0.8201952253795295,-0.006560804648405121,0.01284740101786293,True,False,1000,0,0.8024609245094779,0.9963916666666668,35961,5972.122,0.04130883428066228,0.9576945263133385,0.015740903639321003,True
cifar100,symmetric0.2,confidence,dino_density,7,1000,pipeline_primary_matching_rule,0.7342028511323004,0.7297627985873586,0.0044400525449418415,0.7222331237615107,0.7573796789425727,-0.0075526930911771345,0.013661867940888854,True,False,1000,0,0.8024609245094779,0.9964541666666666,35961,5972.42,0.04130883428066228,0.9576945263133385,0.015740903639321003,True
cifar100,symmetric0.2,aum,dino_density,7,1000,pipeline_primary_matching_rule,0.7142140312120079,0.7382303050526959,-0.02401627384068805,0.7231365219156989,0.7598087108835234,-0.04427766619044754,-0.017536529986994537,True,False,1000,0,0.8024609245094779,0.9964149999999999,35961,5972.213,0.04130883428066228,0.9576945263133385,0.015740903639321003,True
cifar100,symmetric0.2,neighbor,dino_density,7,1000,pipeline_primary_matching_rule,0.8347913917403919,0.8297322098940519,0.005059181846339911,0.8260651546381353,0.8543138926969652,-0.004685703640993339,0.00872438042074193,True,False,1000,0,0.8024609245094779,0.9965108333333332,35961,5972.863,0.04130883428066228,0.9576945263133385,0.015740903639321003,True
cifar100,symmetric0.2,confident_learning,dino_density,7,1000,pipeline_primary_matching_rule,0.8197085331887195,0.8183726815160869,0.0013358516726326153,0.810024896803913,0.8403240826928362,-0.009291441907287586,0.008319211088506586,True,False,1000,0,0.8024609245094779,0.9964316666666666,35961,5972.352,0.04130883428066228,0.9576945263133385,0.015740903639321003,True
cifar100,symmetric0.2,combined,dino_density,5,1000,pipeline_primary_matching_rule,0.7024576254672145,0.6906783187682064,0.011779306699008063,0.6716589091873442,0.7072645970348176,-0.00045165376598011467,0.02167375034115717,True,False,1000,0,0.8126471577531114,0.99577,36045,5968.101,0.04581584649883221,0.9799874396407446,0.015903600165158734,True
cifar100,symmetric0.2,ema_loss,dino_density,5,1000,pipeline_primary_matching_rule,0.8078679432514401,0.8028852822860314,0.0049826609654086695,0.7853868903596216,0.8154382158864892,-0.007280161040654569,0.011599114228798744,True,False,1000,0,0.8126471577531114,0.9957291666666668,36045,5967.567,0.04581584649883221,0.9799874396407446,0.015903600165158734,True
cifar100,symmetric0.2,confidence,dino_density,5,1000,pipeline_primary_matching_rule,0.7430875567409017,0.7408794562352614,0.0022081005056402425,0.7187171843481064,0.7515562559534489,-0.006696023879372228,0.013302200119593491,True,False,1000,0,0.8126471577531114,0.9958683333333334,36045,5968.386,0.04581584649883221,0.9799874396407446,0.015903600165158734,True
